JobTypeCode,Category,Channel
AP,Call,Call
ED-VID,Video Coaching,Video Coaching
ET,Not Defined,Not Defined
FO,Visit,Visit
LC,Visit,Visit
AM,Visit,Visit
MG,Not Defined,Not Defined
AD,Visit,Visit
CC,Call,Call
CZ,Visit,Visit
ID,Call,Call
IU,Visit,Visit
MI,Not Defined,Not Defined
NC,Visit,Visit
NJ,Call,Call
O1,SMS,SMS
O2,SMS,SMS
O5,Call,Call
PG,Visit,Visit
PH,Not Defined,Not Defined
PT,Visit,Visit
SC,Visit,Visit
SUPPORT_TICKET,Patient Self-Report,Patient Self-Report
T1,Visit,Visit
T2,Visit,Visit
O2,Call,Call
T3,Visit,Visit
O3,Call,Call
T4,Visit,Visit
WC,Call,Call
WK,Call,Call
OA,Visit,Visit
PW,Call,Call
RC,Visit,Visit
T6,Visit,Visit
TR,Visit,Visit
TT,Visit,Visit
V9,Visit,Visit
VS,Visit,Visit
AW,Call,Call
CA,Visit,Visit
ED,Visit,Visit
EM,Visit,Visit
LI,Call,Call
MV,Not Defined,Not Defined
O6,Visit,Visit
O9,Visit,Visit
OL,Visit,Visit
OP,Visit,Visit
OR,Visit,Visit
T5,Visit,Visit
T7,Visit,Visit
TA,Visit,Visit
VA,Visit,Visit
VF,Visit,Visit
VK,Visit,Visit
VM,Visit,Visit
WA,Call,Call
WM,Call,Call
CM,Visit,Visit
EX,Visit,Visit
HL,Call,Call
IH,Visit,Visit
LU,Not Defined,Not Defined
O4,Call,Call
O7,Visit,Visit
PI,Call,Call
SA,Call,Call
T9,SMS,SMS
VD,Visit,Visit
VH,Visit,Visit
VR,Visit,Visit
WS,Call,Call
